Район Комнаты Этаж Цена Идентификатор
Ленинский 1 1 16480 29B3
Ленинский 2 6 20800 E9T7
Московский 3 10 12160 1O6G
Октябрьский 3 4 29800 IG4B
Ленинский 4 2 33760 JBX1
Партизанский 2 10 10960 929P
Заводской 4 10 13120 H383
Первомайский 1 11 17200 1OW1
Московский 3 8 31600 F58C
Заводской 3 4 33400 NE74
Советский 3 12 37720 94PM
Ленинский 2 1 22960 4H03
Московский 3 4 31600 C2I7
Советский 3 10 11980 10CV
Ленинский 2 4 20800 90FW
Первомайский 2 10 11200 UFK3
Ленинский 2 12 25120 28LB
Советский 2 1 25840 441I
Московский 1 10 10720 EC6G
Партизанский 3 12 30160 2061
Партизанский 4 7 29200 A747
Ленинский 3 2 27820 UDR5
Первомайский 3 8 28000 ORZ3
Заводской 3 9 35740 7348
Московский 1 8 17200 PFTY
Октябрьский 3 11 33760 68U5
Советский 4 10 12640 ZTP6
Заводской 4 7 41200 SIHJ
Первомайский 4 10 12400 Y0G3
Партизанский 1 7 14800 73X2
Советский 3 10 11980 1I67
Партизанский 3 6 24400 GAP4
Советский 4 6 36400 101X
Октябрьский 3 12 37720 V73B
Ленинский 1 1 16480 344I
Ленинский 1 8 15400 D0TO
Ленинский 3 3 27820 F860
Ленинский 1 6 15400 8V98
Советский 3 10 11980 9DP4
Партизанский 3 12 30160 EW77
Октябрьский 4 12 46960 8RGK
Ленинский 4 1 35920 M805
Ленинский 4 4 31600 75L8
Заводской 2 7 25600 9N5E
Первомайский 3 4 28000 UD66
Заводской 4 9 44320 39WW
Заводской 2 2 27160 9D6L
Октябрьский 4 3 39040 U4B7
Заводской 3 8 33400 EMY7
Заводской 4 9 44320 Y87D
Советский 3 7 29800 TV3J
Первомайский 2 7 22000 VN3R
Первомайский 4 3 36400 3376
Октябрьский 4 8 36400 3W27
Советский 3 9 31780 10E3
Ленинский 4 7 31600 Q7T1
Заводской 4 11 47440 2IT8
Советский 2 2 24520 C2C6
Ленинский 3 5 26200 8P29
Октябрьский 2 11 25840 3261
Советский 2 5 23200 0JB5
Ленинский 4 1 35920 9384
Заводской 1 9 18580 294Z
Ленинский 2 6 20800 CBXK
Советский 2 8 23200 001R
Заводской 4 12 53680 7QO0
Московский 1 7 17200 BP8P
Октябрьский 4 1 41680 6KFR
Советский 1 12 19240 9312
Московский 1 5 17200 NJ0S
Партизанский 2 3 20560 H1O0
Первомайский 1 7 16000 FK3J
Партизанский 2 7 19600 FV8Q
Первомайский 4 4 34000 I60N
Партизанский 4 7 29200 2H20
Советский 2 2 24520 01ZP
Советский 4 12 46960 N72N
Советский 1 4 16600 3L6I
Московский 1 5 17200 2IXZ
Советский 1 3 17260 U588
Советский 2 3 24520 3T36
Октябрьский 3 12 37720 3A2U
Октябрьский 3 5 29800 U15R
Первомайский 4 9 36400 SG75
Московский 1 5 17200 0EX1
Советский 4 6 36400 G480
Первомайский 2 2 23200 6596
Партизанский 3 11 27280 5024
Советский 3 7 29800 87TK
Первомайский 2 2 23200 5A31
Партизанский 4 4 29200 XG8D
Ленинский 1 3 15940 1J9M
Первомайский 4 7 34000 W15L
Советский 2 10 11320 9BH7
